Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Category
8,52,No,9,4,47,Moderate
1,62,No,5,6,36,Moderate
5,77,No,7,4,63,Optimal Balance
3,71,Yes,9,8,52,Moderate
1,84,No,7,2,58,Moderate
4,89,Yes,7,8,77,Optimal Balance
5,74,No,6,0,58,Moderate
7,40,Yes,6,2,33,Moderate
1,86,Yes,7,3,67,Moderate
3,97,Yes,6,5,76,Moderate
2,84,No,5,9,62,Moderate
9,44,No,4,7,37,Stressed Burnout
6,96,No,9,6,86,Moderate
3,52,Yes,5,7,37,Moderate
8,93,No,4,5,88,Stressed Burnout
8,44,No,6,5,38,Moderate
2,99,Yes,9,5,76,Moderate
6,71,No,5,2,57,Moderate
7,90,Yes,8,9,82,Moderate
2,60,No,7,3,35,Moderate
2,63,Yes,4,5,41,Moderate
1,99,Yes,4,6,75,Moderate
8,57,No,8,2,51,Moderate
1,60,Yes,8,3,34,Moderate
9,93,No,7,5,92,Inefficient High Effort
6,49,No,6,0,39,Moderate
7,63,No,5,6,56,Stressed Burnout
7,79,No,5,0,69,Stressed Burnout
3,86,Yes,5,9,69,Moderate
2,60,Yes,6,8,40,Moderate
9,64,Yes,7,9,63,Inefficient High Effort
8,91,No,5,8,86,Stressed Burnout
7,99,No,4,8,89,Stressed Burnout
9,96,Yes,4,3,94,Stressed Burnout
4,98,Yes,4,1,79,Moderate
4,62,No,8,6,44,Optimal Balance
1,61,No,8,3,33,Moderate
8,43,No,6,4,36,Moderate
3,73,Yes,5,0,50,Moderate
7,95,No,8,9,94,Moderate
2,45,Yes,4,5,22,Moderate
2,67,No,8,6,44,Moderate
7,70,Yes,4,2,60,Stressed Burnout
6,74,No,5,9,64,Moderate
3,78,Yes,6,1,58,Moderate
9,81,Yes,7,9,78,Inefficient High Effort
6,62,Yes,7,6,51,Optimal Balance
6,45,No,4,0,30,Moderate
1,55,Yes,8,1,29,Moderate
4,41,Yes,8,2,22,Optimal Balance
6,63,No,4,3,51,Moderate
6,56,Yes,5,4,45,Moderate
5,84,Yes,4,3,70,Moderate
1,40,No,5,9,10,Moderate
8,45,Yes,6,2,38,Moderate
5,44,No,6,0,30,Moderate
5,96,Yes,4,6,82,Moderate
7,84,No,6,9,74,Moderate
4,99,Yes,8,5,87,Optimal Balance
6,94,Yes,5,1,77,Moderate
4,89,Yes,7,1,72,Optimal Balance
3,68,No,7,2,51,Moderate
7,51,Yes,6,7,40,Moderate
8,78,Yes,5,7,72,Stressed Burnout
4,86,No,8,9,68,Optimal Balance
2,42,No,7,9,22,Moderate
3,87,No,8,9,67,Moderate
1,40,Yes,8,9,18,Moderate
8,66,Yes,7,7,64,Moderate
3,87,Yes,7,6,66,Moderate
7,63,No,6,1,50,Moderate
5,83,No,5,0,68,Moderate
5,58,Yes,4,5,44,Moderate
7,98,Yes,5,7,90,Stressed Burnout
9,47,No,4,0,41,Stressed Burnout
5,94,No,7,2,83,Optimal Balance
1,83,No,8,0,57,Moderate
1,86,Yes,5,9,64,Moderate
2,41,No,8,8,18,Moderate
6,69,No,5,6,62,Moderate
9,69,No,9,7,66,Moderate
8,88,No,5,8,85,Stressed Burnout
5,78,Yes,8,2,62,Optimal Balance
1,84,No,9,9,62,Moderate
7,71,Yes,6,1,62,Moderate
5,40,Yes,7,5,26,Optimal Balance
6,77,No,6,4,66,Moderate
7,52,No,6,3,43,Moderate
3,50,Yes,5,5,30,Moderate
3,49,No,7,5,25,Moderate
5,87,Yes,9,2,77,Moderate
6,98,No,5,1,88,Moderate
9,65,Yes,4,8,62,Stressed Burnout
5,95,Yes,5,7,82,Moderate
1,94,Yes,9,3,73,Moderate
4,59,No,8,5,44,Optimal Balance
5,56,Yes,5,2,40,Moderate
5,56,Yes,4,7,39,Moderate
7,43,No,5,2,34,Stressed Burnout
4,44,No,9,1,27,Moderate
1,99,Yes,4,6,73,Moderate
5,62,Yes,7,2,46,Optimal Balance
7,85,No,9,8,78,Moderate
6,91,Yes,5,2,80,Moderate
5,49,No,4,7,33,Moderate
4,85,No,9,1,68,Moderate
2,67,No,7,8,45,Moderate
4,72,Yes,8,0,56,Optimal Balance
3,82,No,6,2,58,Moderate
1,65,Yes,4,1,37,Moderate
8,94,Yes,8,6,88,Moderate
5,89,No,7,4,75,Optimal Balance
4,87,No,8,7,70,Optimal Balance
8,68,No,5,1,62,Stressed Burnout
7,66,No,6,7,57,Moderate
2,57,Yes,4,6,32,Moderate
1,79,Yes,9,4,53,Moderate
4,99,No,7,1,82,Optimal Balance
8,49,Yes,6,9,41,Moderate
2,97,No,7,6,75,Moderate
3,81,Yes,8,9,63,Moderate
1,44,Yes,7,3,17,Moderate
1,49,Yes,7,3,24,Moderate
3,89,No,8,7,69,Moderate
5,60,Yes,8,5,47,Optimal Balance
3,63,Yes,6,8,43,Moderate
1,77,Yes,4,1,48,Moderate
1,42,Yes,8,4,17,Moderate
8,79,No,6,5,75,Moderate
2,70,Yes,7,7,54,Moderate
3,80,No,7,3,59,Moderate
2,76,No,9,6,56,Moderate
3,41,Yes,5,6,20,Moderate
7,41,Yes,8,3,34,Moderate
1,78,No,6,0,54,Moderate
8,88,No,9,2,83,Moderate
2,81,No,6,1,59,Moderate
3,83,Yes,4,2,63,Moderate
9,73,Yes,9,4,72,Moderate
7,81,No,6,0,70,Moderate
4,59,No,8,4,41,Optimal Balance
5,72,No,6,1,54,Moderate
2,43,Yes,5,3,21,Moderate
8,84,Yes,7,5,83,Moderate
4,83,No,7,8,64,Optimal Balance
9,50,Yes,9,9,51,Moderate
5,81,No,6,5,66,Moderate
9,86,Yes,6,9,83,Inefficient High Effort
4,44,No,6,1,26,Moderate
5,64,Yes,6,7,49,Moderate
9,88,Yes,5,4,85,Stressed Burnout
8,99,Yes,8,8,95,Moderate
3,76,Yes,5,9,56,Moderate
1,73,Yes,5,8,50,Moderate
3,48,Yes,5,3,23,Moderate
4,45,Yes,7,0,26,Optimal Balance
2,57,No,5,8,30,Moderate
1,53,No,6,8,28,Moderate
7,58,No,5,7,48,Stressed Burnout
8,53,Yes,6,4,46,Moderate
7,79,Yes,9,4,73,Moderate
5,56,Yes,8,9,45,Optimal Balance
1,99,No,7,5,76,Moderate
7,74,No,8,0,71,Moderate
7,68,No,9,8,60,Moderate
9,81,No,8,4,77,Moderate
3,56,No,7,6,36,Moderate
9,98,No,6,7,96,Inefficient High Effort
1,82,Yes,9,4,62,Moderate
1,47,No,9,2,22,Moderate
4,40,Yes,6,5,21,Moderate
9,84,No,6,6,79,Inefficient High Effort
6,92,No,7,3,82,Optimal Balance
3,75,Yes,5,8,55,Moderate
1,46,Yes,4,3,22,Moderate
4,85,Yes,5,9,70,Moderate
9,44,No,5,1,37,Stressed Burnout
3,63,No,8,8,42,Moderate
9,67,Yes,4,3,64,Stressed Burnout
7,82,No,6,3,72,Moderate
4,56,Yes,5,9,42,Moderate
3,76,No,7,0,56,Moderate
5,59,No,5,1,43,Moderate
5,42,No,6,2,24,Moderate
3,76,Yes,5,6,55,Moderate
9,65,No,9,8,64,Moderate
4,54,Yes,8,4,34,Optimal Balance
5,90,Yes,8,3,78,Optimal Balance
4,87,Yes,5,1,71,Moderate
5,47,Yes,8,6,33,Optimal Balance
7,52,Yes,7,5,46,Moderate
9,87,Yes,4,6,86,Stressed Burnout
7,42,Yes,5,7,34,Stressed Burnout
5,40,Yes,7,8,26,Optimal Balance
7,48,Yes,9,9,44,Moderate
5,70,No,7,4,53,Optimal Balance
3,80,Yes,7,4,61,Moderate
7,93,No,9,3,84,Moderate
2,65,Yes,6,2,40,Moderate
9,56,No,5,6,53,Stressed Burnout
1,95,No,5,4,67,Moderate
6,73,No,5,6,58,Moderate
7,48,No,4,1,41,Stressed Burnout
8,95,No,7,8,89,Moderate
9,90,No,5,8,85,Stressed Burnout
2,52,Yes,8,8,33,Moderate
2,44,Yes,6,4,20,Moderate
5,80,Yes,9,9,66,Moderate
5,52,Yes,9,8,38,Moderate
6,40,Yes,4,0,25,Moderate
3,64,Yes,9,1,43,Moderate
8,86,No,6,9,79,Moderate
1,43,Yes,7,4,16,Moderate
6,75,No,9,4,67,Moderate
4,91,No,9,5,80,Moderate
1,49,No,8,7,26,Moderate
7,67,No,7,0,57,Moderate
9,96,No,5,9,91,Stressed Burnout
4,45,No,6,8,29,Moderate
4,66,Yes,9,3,48,Moderate
6,95,No,8,7,84,Optimal Balance
3,51,No,6,4,33,Moderate
6,91,Yes,4,0,82,Moderate
7,87,Yes,8,8,81,Moderate
3,42,Yes,4,7,24,Moderate
7,85,Yes,9,4,81,Moderate
3,72,Yes,8,3,54,Moderate
2,49,Yes,5,7,25,Moderate
4,70,Yes,6,8,53,Moderate
8,54,No,6,6,48,Moderate
9,46,Yes,7,3,40,Inefficient High Effort
7,75,No,8,6,66,Moderate
1,53,Yes,8,5,29,Moderate
3,95,Yes,4,2,73,Moderate
9,87,No,8,9,89,Moderate
1,53,Yes,6,2,27,Moderate
9,42,Yes,8,0,40,Moderate
8,88,Yes,7,4,83,Moderate
1,92,Yes,7,7,69,Moderate
6,85,Yes,6,5,72,Moderate
5,89,Yes,6,7,77,Moderate
6,42,Yes,6,6,32,Moderate
5,61,No,8,1,49,Optimal Balance
6,58,Yes,8,7,44,Optimal Balance
5,74,No,5,3,57,Moderate
5,51,No,9,4,34,Moderate
4,93,No,9,7,76,Moderate
3,44,No,4,4,22,Moderate
3,49,No,8,4,30,Moderate
4,80,No,5,5,67,Moderate
9,72,No,5,6,71,Stressed Burnout
2,52,Yes,7,8,29,Moderate
9,74,Yes,8,6,74,Moderate
1,90,Yes,5,5,67,Moderate
1,71,No,7,9,46,Moderate
5,50,Yes,4,3,34,Moderate
6,87,No,7,9,76,Optimal Balance
6,77,No,4,1,64,Moderate
3,63,Yes,9,8,46,Moderate
7,74,No,9,9,68,Moderate
9,58,No,6,4,58,Inefficient High Effort
8,45,Yes,6,4,41,Moderate
6,79,No,7,2,64,Optimal Balance
8,93,Yes,6,2,84,Moderate
5,84,No,8,0,70,Optimal Balance
8,83,No,7,4,77,Moderate
4,81,Yes,5,2,60,Moderate
8,74,Yes,8,1,65,Moderate
2,43,Yes,7,8,21,Moderate
5,72,No,9,9,60,Moderate
9,52,No,4,5,48,Stressed Burnout
4,95,Yes,6,2,77,Moderate
6,75,Yes,6,6,63,Moderate
1,93,Yes,6,8,68,Moderate
9,82,No,7,8,81,Inefficient High Effort
1,58,No,8,0,29,Moderate
5,82,Yes,4,1,66,Moderate
4,51,Yes,6,7,36,Moderate
3,50,Yes,8,0,29,Moderate
6,45,No,5,2,32,Moderate
2,51,Yes,9,6,31,Moderate
3,66,Yes,5,7,45,Moderate
5,80,Yes,4,4,65,Moderate
9,64,No,6,1,57,Inefficient High Effort
2,81,No,5,2,58,Moderate
8,42,Yes,9,8,38,Moderate
2,42,No,8,9,22,Moderate
5,59,Yes,8,6,48,Optimal Balance
7,67,Yes,5,0,59,Stressed Burnout
8,62,Yes,6,2,58,Moderate
1,87,Yes,9,8,62,Moderate
6,42,No,4,6,30,Moderate
1,81,Yes,6,1,56,Moderate
2,63,Yes,7,5,40,Moderate
1,82,No,5,8,59,Moderate
5,79,Yes,7,3,65,Optimal Balance
9,45,No,5,9,43,Stressed Burnout
6,59,Yes,4,1,48,Moderate
1,50,Yes,6,2,24,Moderate
1,71,Yes,9,6,51,Moderate
2,99,Yes,6,3,81,Moderate
9,66,No,5,6,62,Stressed Burnout
3,60,Yes,8,4,43,Moderate
1,83,No,7,7,63,Moderate
5,87,No,9,7,73,Moderate
7,89,No,9,4,76,Moderate
6,52,Yes,6,6,43,Moderate
1,61,No,6,5,34,Moderate
5,74,No,5,7,57,Moderate
5,86,No,8,8,72,Optimal Balance
6,61,Yes,7,4,47,Optimal Balance
3,67,Yes,8,6,52,Moderate
5,60,No,9,0,49,Moderate
7,85,No,8,7,77,Moderate
5,57,Yes,5,2,41,Moderate
5,70,No,8,0,56,Optimal Balance
5,99,No,7,5,89,Optimal Balance
3,85,No,9,7,65,Moderate
1,76,Yes,4,2,49,Moderate
5,60,No,9,0,48,Moderate
9,53,No,4,2,47,Stressed Burnout
1,64,Yes,7,4,37,Moderate
3,66,No,9,7,48,Moderate
4,79,Yes,9,8,61,Moderate
1,99,Yes,9,8,77,Moderate
1,99,Yes,9,3,75,Moderate
8,62,No,5,7,57,Stressed Burnout
2,70,No,6,4,45,Moderate
8,86,No,9,2,82,Moderate
7,99,No,5,4,90,Stressed Burnout
2,68,No,7,1,42,Moderate
6,86,No,9,5,74,Moderate
6,69,No,8,0,60,Optimal Balance
3,90,No,9,5,73,Moderate
2,65,Yes,9,4,40,Moderate
1,59,No,4,8,32,Moderate
6,77,No,8,6,67,Optimal Balance
5,58,Yes,9,5,46,Moderate
9,66,No,9,6,65,Moderate
1,64,Yes,9,9,42,Moderate
7,79,No,5,4,69,Stressed Burnout
5,77,No,7,0,62,Optimal Balance
5,91,Yes,4,8,75,Moderate
2,62,Yes,9,4,40,Moderate
3,68,No,7,3,43,Moderate
7,54,Yes,4,5,42,Stressed Burnout
6,98,No,4,4,84,Moderate
2,42,No,4,0,15,Moderate
6,49,No,9,1,39,Moderate
2,54,No,5,3,26,Moderate
2,95,No,9,7,73,Moderate
2,55,No,9,4,34,Moderate
3,56,Yes,7,6,34,Moderate
2,58,Yes,6,1,37,Moderate
4,50,Yes,6,7,34,Moderate
9,87,No,6,4,85,Inefficient High Effort
6,44,Yes,7,3,31,Optimal Balance
1,44,No,8,8,18,Moderate
8,97,Yes,7,5,92,Moderate
7,53,No,4,3,44,Stressed Burnout
3,89,No,9,7,72,Moderate
1,65,No,8,2,40,Moderate
5,47,No,4,9,31,Moderate
4,44,No,9,1,25,Moderate
8,46,Yes,9,6,44,Moderate
1,55,No,4,3,27,Moderate
1,94,Yes,7,3,66,Moderate
4,53,No,6,9,34,Moderate
8,76,No,8,8,70,Moderate
5,95,No,9,1,81,Moderate
2,80,Yes,5,0,56,Moderate
6,43,No,9,6,30,Moderate
5,75,Yes,6,7,60,Moderate
2,87,No,9,2,64,Moderate
3,95,Yes,5,1,74,Moderate
9,56,Yes,7,3,52,Inefficient High Effort
7,86,Yes,9,1,84,Moderate
7,75,No,8,1,66,Moderate
6,45,No,7,4,32,Optimal Balance
8,55,Yes,5,9,47,Stressed Burnout
4,68,No,4,4,51,Moderate
8,75,No,9,7,67,Moderate
4,77,No,7,8,57,Optimal Balance
8,76,Yes,9,1,71,Moderate
9,87,Yes,8,0,86,Moderate
3,96,No,9,2,77,Moderate
3,87,Yes,7,5,72,Moderate
2,49,No,6,4,24,Moderate
3,80,No,7,7,60,Moderate
3,75,Yes,5,7,55,Moderate
5,68,Yes,7,1,54,Optimal Balance
5,53,No,8,8,39,Optimal Balance
2,43,No,7,3,19,Moderate
6,83,No,7,0,68,Optimal Balance
5,95,Yes,8,1,83,Optimal Balance
6,81,Yes,7,5,72,Optimal Balance
1,75,No,8,4,49,Moderate
5,89,No,5,6,74,Moderate
9,84,Yes,8,8,86,Moderate
2,52,No,5,5,26,Moderate
1,85,Yes,5,5,60,Moderate
9,57,Yes,8,1,54,Moderate
9,72,No,7,6,73,Inefficient High Effort
9,60,No,9,1,61,Moderate
6,55,Yes,6,6,45,Moderate
8,54,No,9,7,57,Moderate
1,93,Yes,8,0,68,Moderate
4,96,Yes,7,8,72,Optimal Balance
1,44,Yes,5,7,17,Moderate
8,45,No,4,8,37,Stressed Burnout
1,77,No,6,4,54,Moderate
3,42,No,9,3,22,Moderate
4,87,Yes,7,0,73,Optimal Balance
8,51,Yes,6,8,47,Moderate
6,75,Yes,4,3,63,Moderate
7,72,Yes,4,3,63,Stressed Burnout
8,75,No,4,3,68,Stressed Burnout
2,72,No,9,1,52,Moderate
8,70,No,8,3,64,Moderate
3,60,Yes,6,1,38,Moderate
7,66,Yes,8,7,60,Moderate
3,66,No,4,6,45,Moderate
7,47,Yes,7,9,39,Moderate
2,95,No,4,1,75,Moderate
6,76,Yes,8,1,67,Optimal Balance
3,71,Yes,4,1,48,Moderate
3,65,Yes,4,0,44,Moderate
9,41,Yes,8,5,37,Moderate
7,51,Yes,8,5,41,Moderate
5,61,No,7,0,47,Optimal Balance
7,56,No,8,0,45,Moderate
9,46,No,7,5,43,Inefficient High Effort
1,82,Yes,5,5,54,Moderate
7,43,No,5,3,32,Stressed Burnout
6,76,No,8,2,64,Optimal Balance
9,77,Yes,4,8,74,Stressed Burnout
1,71,Yes,6,5,50,Moderate
4,50,No,4,0,33,Moderate
9,40,No,8,2,36,Moderate
4,64,No,7,0,45,Optimal Balance
3,81,No,4,2,58,Moderate
9,91,No,5,1,85,Stressed Burnout
2,63,Yes,9,4,41,Moderate
4,92,No,8,2,78,Optimal Balance
6,82,No,4,6,63,Moderate
2,95,No,9,7,76,Moderate
8,56,No,4,6,51,Stressed Burnout
8,47,No,7,1,36,Moderate
1,98,No,7,9,74,Moderate
3,84,Yes,7,9,65,Moderate
9,66,Yes,9,6,65,Moderate
5,91,Yes,6,9,79,Moderate
6,57,No,9,2,46,Moderate
4,66,No,8,6,47,Optimal Balance
